Genus,Gemini,GeminiCL,GeminiAura
[Clostridium] innocuum group,Anaerobic,-,-
[Eubacterium] brachy group,Anaerobic,Correct,Correct
[Eubacterium] coprostanoligenes group,Anaerobic,-,-
[Eubacterium] fissicatena group,Anaerobic,-,-
[Eubacterium] nodatum group,Anaerobic,-,Correct
[Eubacterium] xylanophilum group,Anaerobic,-,Correct
[Ruminococcus] torques group,Anaerobic,-,Correct
1174-901-12,Unknown,-,-
1921-2,Unknown,-,-
1959-1,Unknown,-,-
3PJM14,Unknown,-,-
A2,Anaerobic,-,-
Acetobacter,Aerotolerant,-,-
Acholeplasma,Aerotolerant,-,-
Achromobacter,Aerotolerant,-,Correct
Acidaminococcus,Anaerobic,-,-
Acidibacter,Aerotolerant,-,Correct
Acidicaldus,Aerotolerant,-,-
Acidiphilium,Aerotolerant,-,Correct
Acidipropionibacterium,Anaerobic,-,-
Acidothermus,Aerotolerant,-,-
Acinetobacter,Aerotolerant,-,Correct
Actibacterium,Aerotolerant,-,-
Actinoallomurus,Aerotolerant,-,-
Actinoalloteichus,Aerotolerant,-,-
Actinobacillus,Aerotolerant,-,-
actinobacterium BGR 88,Unknown,-,-
Actinocatenispora,Aerotolerant,-,-
Actinocorallia,Aerotolerant,-,-
Actinokineospora,Aerotolerant,-,-
Actinomadura,Aerotolerant,-,-
Actinomyces,Anaerobic,-,-
Actinomycetospora,Aerotolerant,-,-
Actinophytocola,Aerotolerant,-,-
Actinoplanes,Aerotolerant,Correct,Correct
Actinopolymorpha,Aerotolerant,-,-
Actinopolyspora,Aerotolerant,-,-
Actinospica,Aerotolerant,-,-
Actinotalea,Aerotolerant,-,-
Acuticoccus,Aerotolerant,-,-
Adhaeribacter,Aerotolerant,-,Correct
ADurb.Bin063-1,Unknown,-,-
Aequorivita,Aerotolerant,-,-
Aeromicrobium,Aerotolerant,-,-
Aeromonas,Aerotolerant,-,Correct
Aerosphaera,Aerotolerant,-,-
Aestuariimicrobium,Aerotolerant,-,-
Afifella,Aerotolerant,-,-
Afipia,Aerotolerant,-,-
Agaricicola,Aerotolerant,-,-
Agrococcus,Aerotolerant,Correct,-
Agromyces,Aerotolerant,-,Correct
Akkermansia,Anaerobic,Correct,-
AKYG587,Unknown,-,-
Alcaligenes,Aerotolerant,-,-
Algisphaera,Aerotolerant,-,-
Algoriphagus,Aerotolerant,-,-
Alicycliphilus,Aerotolerant,-,-
Aliifodinibius,Anaerobic,-,-
Aliihoeflea,Aerotolerant,-,-
Alishewanella,Aerotolerant,-,-
Alistipes,Anaerobic,Correct,Correct
Alkaliphilus,Aerotolerant,-,-
Alkanindiges,Aerotolerant,-,-
Allochromatium,Anaerobic,-,-
Alloprevotella,Anaerobic,-,Correct
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Aerotolerant,-,Correct
alphaI cluster,Unknown,-,-
Altererythrobacter,Aerotolerant,-,Correct
Alterococcus,Aerotolerant,-,-
Alteromonas,Aerotolerant,-,-
Amaricoccus,Aerotolerant,-,Correct
Ambiguous_taxa,Unknown,-,-
Aminobacter,Aerotolerant,-,Correct
Ammoniphilus,Aerotolerant,-,-
Amnibacterium,Aerotolerant,Correct,-
Amphibacillus,Aerotolerant,Correct,-
Amphiplicatus,Aerotolerant,-,-
Amycolatopsis,Aerotolerant,-,-
Anaerobacillus,Anaerobic,-,-
Anaerobiospirillum,Anaerobic,-,-
Anaerobium,Anaerobic,-,-
Anaerococcus,Anaerobic,-,-
Anaerocolumna,Anaerobic,-,-
Anaerofilum,Anaerobic,-,-
Anaerofustis,Anaerobic,Correct,-
Anaeromyxobacter,Aerotolerant,-,-
Anaeroplasma,Anaerobic,-,Correct
Anaerosinus,Anaerobic,-,-
Anaerosolibacter,Anaerobic,-,-
Anaerosporobacter,Anaerobic,-,Correct
Anaerostipes,Anaerobic,-,Correct
Anaerotruncus,Anaerobic,-,-
Anaerovibrio,Anaerobic,-,-
Anaerovorax,Anaerobic,Correct,-
Ancylobacter,Aerotolerant,-,-
Angustibacter,Anaerobic,-,-
Anoxybacillus,Aerotolerant,-,-
Anthococcus,Aerotolerant,-,-
Antricoccus,Aerotolerant,-,-
Apibacter,Aerotolerant,-,-
Aquabacterium,Aerotolerant,-,-
Aquamicrobium,Aerotolerant,-,-
Aquicella,Aerotolerant,-,-
Aquipuribacter,Aerotolerant,-,-
Aquisphaera,Aerotolerant,-,-
Aquitalea,Aerotolerant,-,-
Arcobacter,Aerotolerant,-,-
Arcticibacter,Aerotolerant,-,-
Arenimonas,Aerotolerant,-,Correct
Arhodomonas,Aerotolerant,-,-
Aridibacter,Aerotolerant,-,-
Armatimonas,Aerotolerant,-,-
Arsenicicoccus,Aerotolerant,-,-
Arsenophonus,Aerotolerant,-,-
Arthrobacter,Aerotolerant,-,Correct
Asaia,Aerotolerant,-,-
Asanoa,Aerotolerant,Correct,-
Asticcacaulis,Aerotolerant,-,-
AT-s3-44,Unknown,-,-
Atopobium,Anaerobic,-,-
Atopostipes,Aerotolerant,-,-
Aureimonas,Aerotolerant,-,-
Azoarcus,Anaerobic,-,-
Azospira,Anaerobic,-,-
Azospirillum,Aerotolerant,-,-
Bacillus,Aerotolerant,Correct,-
bacterium Ellin6529,Unknown,-,-
bacterium Ellin6537,Unknown,-,-
bacterium Ellin6543,Unknown,-,-
bacterium enrichment culture clone Anammox_49,Anaerobic,-,-
bacterium enrichment culture clone auto112_4W,Unknown,-,-
bacterium LWQ8,Unassigned,-,-
bacterium WWH38,Unassigned,-,-
bacterium WX65,Unknown,-,-
bacterium YC-ZSS-LKJ159,Unknown,-,-
bacterium YC-ZSS-LKJ66,Unknown,-,-
Bacteroides,Anaerobic,Correct,Correct
Baia,Aerotolerant,-,-
Bartonella,Aerotolerant,-,-
Bauldia,Aerotolerant,-,Correct
BD1-7 clade,Unknown,-,-
Bdellovibrio,Aerotolerant,-,-
Belnapia,Aerotolerant,-,-
Bhargavaea,Aerotolerant,-,-
Bifidobacterium,Anaerobic,-,Correct
Bilophila,Anaerobic,-,Correct
BIyi10,Unknown,-,-
Blastocatella,Aerotolerant,-,Correct
Blastochloris,Anaerobic,-,-
Blastococcus,Aerotolerant,-,-
Blastomonas,Aerotolerant,-,-
Blastopirellula,Aerotolerant,-,Correct
Blattabacterium,Unknown,-,-
Blattella germanica (German cockroach),Unknown,-,-
Blautia,Anaerobic,-,Correct
Bogoriella,Aerotolerant,-,-
Bordetella,Aerotolerant,-,-
Bosea,Aerotolerant,-,-
Brachybacterium,Aerotolerant,Correct,-
Brachyspira,Anaerobic,-,-
Bradyrhizobium,Aerotolerant,-,Correct
Brevibacillus,Aerotolerant,-,-
Brevibacterium,Aerotolerant,Correct,-
Brevundimonas,Aerotolerant,-,Correct
Breznakia,Anaerobic,-,-
Brooklawnia,Aerotolerant,-,-
Bryobacter,Aerotolerant,-,Correct
Burkholderia-Caballeronia-Paraburkholderia,Aerotolerant,-,-
Butyricicoccus,Anaerobic,-,Correct
Butyricimonas,Anaerobic,-,-
Bythopirellula,Aerotolerant,-,-
C1-B045,Unknown,-,-
C39,Unknown,-,-
Caenimonas,Aerotolerant,-,Correct
Camelimonas,Aerotolerant,-,-
Campylobacter,Aerotolerant,-,-
candidate division SR1 bacterium MGEHA,Unassigned,-,-
candidate division TM7 bacterium JGI 0001002-L20,Unassigned,-,-
candidate division TM7 bacterium LY2,Unassigned,-,-
Candidatus Actinomarina,Unknown,-,-
Candidatus Alysiosphaera,Unknown,-,-
Candidatus Anammoximicrobium,Anaerobic,-,-
Candidatus Arthromitus,Unknown,-,-
Candidatus Bacilloplasma,Unknown,-,-
Candidatus Bealeia,Unknown,-,-
Candidatus Berkiella,Unknown,-,-
Candidatus Blochmannia,Unknown,-,-
Candidatus Cardinium,Unknown,-,-
Candidatus Chloroploca,Anaerobic,-,-
Candidatus Competibacter,Unknown,-,-
Candidatus Dichloromethanomonas,Anaerobic,-,-
Candidatus Entotheonella,Unknown,-,-
Candidatus Finniella,Unknown,-,-
Candidatus Jidaibacter,Unknown,-,-
Candidatus Kinetoplastibacterium,Unknown,-,-
Candidatus Koribacter,Aerotolerant,-,-
Candidatus Megaira,Unknown,-,-
Candidatus Moranella,Unknown,-,-
Candidatus Nostocoida,Anaerobic,-,-
Candidatus Omnitrophus,Unknown,-,-
Candidatus Ovatusbacter,Unknown,-,-
Candidatus Paracaedibacter,Unknown,-,-
Candidatus Portiera,Unknown,-,-
Candidatus Rokubacteria bacterium CSP1-6,Unknown,-,-
Candidatus Rosenkranzia,Unknown,-,-
Candidatus Saccharibacteria bacterium RAAC3_TM7_1,Unknown,-,-
Candidatus Saccharibacteria bacterium UB2523,Unknown,-,-
Candidatus Saccharimonas,Unknown,-,-
Candidatus Soleaferrea,Anaerobic,-,-
Candidatus Solibacter,Aerotolerant,-,-
Candidatus Sulcia,Unknown,-,-
Candidatus Tenderia,Unknown,-,-
Candidatus Tremblaya,Unknown,-,-
Candidatus Udaeobacter,Unknown,-,-
Candidatus Uzinura,Unknown,-,-
Candidatus Vestibaculum,Unknown,-,-
Candidatus Xiphinematobacter,Unknown,-,-
Caproiciproducens,Anaerobic,-,Correct
Carnimonas,Aerotolerant,-,-
Carnobacterium,Aerotolerant,-,Correct
Castellaniella,Aerotolerant,-,-
Catabacter,Anaerobic,-,-
Catellatospora,Aerotolerant,-,-
Catellicoccus,Aerotolerant,-,-
Caulobacter,Aerotolerant,-,-
Celeribacter,Aerotolerant,-,-
Cellulomonas,Aerotolerant,Correct,-
Cellulosilyticum,Anaerobic,Correct,Correct
Cellulosimicrobium,Aerotolerant,-,-
Cellvibrio,Aerotolerant,-,-
Cetobacterium,Anaerobic,-,-
Chalicogloea CCALA 975,Aerotolerant,-,-
Chelativorans,Aerotolerant,-,-
Chelatococcus,Aerotolerant,-,-
Chelonobacter,Aerotolerant,-,-
Chitinimonas,Aerotolerant,-,-
Chitinophaga,Aerotolerant,-,-
CHKCI002,Unknown,-,-
Chloroflexi bacterium JEA33,Anaerobic,-,-
Chlorogloeopsis PCC-7518,Aerotolerant,-,-
Chloronema,Anaerobic,-,-
Chondromyces,Aerotolerant,-,-
Christensenella,Anaerobic,-,-
Christensenellaceae R-7 group,Anaerobic,Correct,-
Chroococcidiopsis PCC 7203,Aerotolerant,-,-
Chroococcidiopsis PCC-6712,Aerotolerant,-,-
Chroococcidiopsis SAG 2023,Aerotolerant,-,-
Chryseobacterium,Aerotolerant,-,Correct
Chryseolinea,Aerotolerant,-,Correct
Chthoniobacter,Aerotolerant,Correct,-
Chthonobacter,Aerotolerant,-,-
Chthonomonas,Aerotolerant,-,-
Chujaibacter,Aerotolerant,-,-
CL500-29 marine group,Unknown,-,-
CL500-3,Unknown,-,-
Cloacibacillus,Aerotolerant,-,-
Cloacibacterium,Anaerobic,-,-
Clostridiisalibacter,Anaerobic,-,-
Clostridioides,Anaerobic,-,-
Clostridium sensu stricto 1,Anaerobic,Correct,-
Clostridium sensu stricto 10,Anaerobic,-,-
Clostridium sensu stricto 11,Anaerobic,-,-
Clostridium sensu stricto 12,Anaerobic,-,-
Clostridium sensu stricto 13,Anaerobic,-,-
Clostridium sensu stricto 18,Anaerobic,-,-
Clostridium sensu stricto 2,Anaerobic,-,-
Clostridium sensu stricto 3,Anaerobic,-,-
Clostridium sensu stricto 5,Anaerobic,-,-
Clostridium sensu stricto 6,Anaerobic,-,-
Clostridium sensu stricto 8,Anaerobic,-,-
Cnuella,Aerotolerant,-,-
Cohnella,Aerotolerant,-,Correct
Collinsella,Anaerobic,-,-
Comamonas,Aerotolerant,-,-
Commensalibacter,Aerotolerant,-,-
Conexibacter,Aerotolerant,-,-
Constrictibacter,Aerotolerant,-,-
Coprobacillus,Aerotolerant,-,-
Coprococcus 3,Anaerobic,-,-
Coriobacteriaceae UCG-002,Anaerobic,-,-
Corticicoccus,Aerotolerant,-,-
Corynebacterium,Aerotolerant,-,Correct
Corynebacterium 1,Aerotolerant,Correct,-
Coxiella,Aerotolerant,-,-
CPla-4 termite group,Unknown,-,-
Craurococcus,Aerotolerant,-,-
Croceicoccus,Aerotolerant,-,-
Crocinitomix,Aerotolerant,-,-
Crossiella,Aerotolerant,-,-
Cryomorpha,Aerotolerant,-,-
Cryptosporangium,Aerotolerant,Correct,-
Cupriavidus,Aerotolerant,-,-
Curtobacterium,Aerotolerant,Correct,Correct
Curvibacter,Aerotolerant,-,-
Cutibacterium,Aerotolerant,-,Correct
Cyanobium PCC-6307,Aerotolerant,-,-
Cystobacter,Aerotolerant,-,-
Cytophaga,Aerotolerant,-,Correct
Dactylosporangium,Aerotolerant,-,-
Dechloromonas,Anaerobic,-,-
Defluviicoccus,Aerotolerant,-,-
Defluviimonas,Aerotolerant,-,-
Defluviitaleaceae UCG-011,Anaerobic,-,-
Deinococcus,Aerotolerant,-,-
Delftia,Aerotolerant,-,-
Demequina,Aerotolerant,Correct,-
Dendrosporobacter,Anaerobic,-,-
Dermacoccus,Aerotolerant,-,-
Dermatophilus,Aerotolerant,-,-
Desulfatiferula,Anaerobic,-,-
Desulfotomaculum,Anaerobic,-,-
Desulfovibrio,Anaerobic,-,Correct
Devosia,Aerotolerant,-,-
Dietzia,Aerotolerant,Correct,-
Dinghuibacter,Aerotolerant,-,Correct
Diplorickettsia,Aerotolerant,-,-
Dokdonella,Aerotolerant,-,-
Domibacillus,Aerotolerant,-,-
Dongia,Aerotolerant,-,Correct
Dorea,Anaerobic,-,-
DTU089,Anaerobic,-,-
Dyadobacter,Aerotolerant,-,-
Dyella,Aerotolerant,-,-
Dysgonomonas,Anaerobic,Wrong,-
EcFYyy-200,Unknown,-,-
Eggerthella,Anaerobic,-,-
Eikenella,Aerotolerant,-,-
Eisenbergiella,Anaerobic,-,Correct
Ellin6055,Unknown,-,-
Ellin6067,Unknown,-,-
Elusimicrobium,Aerotolerant,-,Wrong
Empedobacter,Aerotolerant,-,-
Emticicia,Aerotolerant,-,-
Endobacter,Aerotolerant,-,-
endosymbionts6,Unknown,-,-
endosymbionts8,Unassigned,-,-
Enhydrobacter,Aerotolerant,-,-
Ensifer,Aerotolerant,-,-
Enteractinococcus,Aerotolerant,-,-
Enterococcus,Aerotolerant,Correct,Correct
Enterorhabdus,Anaerobic,-,Wrong
Enterovibrio,Aerotolerant,-,-
Entomoplasma,Aerotolerant,-,-
Eoetvoesia,Aerotolerant,-,-
Epulopiscium,Anaerobic,-,-
Erysipelatoclostridium,Anaerobic,Correct,Correct
Erysipelothrix,Aerotolerant,-,-
Erythrobacter,Aerotolerant,-,-
Erythrobacter sp. HME6855,Aerotolerant,-,-
Escherichia-Shigella,Aerotolerant,-,Correct
Eubacterium,Anaerobic,Correct,-
Euryhalocaulis,Aerotolerant,-,-
Euzebya,Aerotolerant,-,-
Facklamia,Aerotolerant,-,-
Faecalitalea,Anaerobic,-,-
Family XIII AD3011 group,Anaerobic,-,-
Family XIII UCG-001,Anaerobic,-,-
FCPS473,Unknown,-,-
Fermentimonas,Anaerobic,-,-
Ferrovibrio,Aerotolerant,-,-
Ferruginibacter,Aerotolerant,-,Correct
FFCH5858,Unknown,-,-
FFCH7168,Unknown,-,-
Fibrella,Aerotolerant,-,-
Filimonas,Anaerobic,-,-
Fimbriiglobus,Aerotolerant,Correct,Correct
Flavihumibacter,Aerotolerant,-,-
Flavimarina,Aerotolerant,-,-
Flavisolibacter,Aerotolerant,-,-
Flavitalea,Aerotolerant,-,-
Flavobacterium,Aerotolerant,-,Correct
Flectobacillus,Aerotolerant,-,-
Flexibacter,Aerotolerant,-,-
Flexivirga,Aerotolerant,-,-
Flindersiella,Aerotolerant,-,-
Fluviicola,Aerotolerant,-,-
Fodinicola,Aerotolerant,-,-
Foliisarcina CENA333,Aerotolerant,-,-
Fonticella,Anaerobic,-,-
Fontimonas,Aerotolerant,-,-
Formosa,Aerotolerant,-,-
Fournierella,Anaerobic,-,-
Friedmanniella,Aerotolerant,-,-
Frigoribacterium,Aerotolerant,Correct,-
Fructobacillus,Aerotolerant,Correct,-
Fulvimarina,Aerotolerant,-,-
Fusobacterium,Anaerobic,-,-
Gaiella,Aerotolerant,-,Correct
Gaiella sp. EBR4-RS1,Aerotolerant,-,-
Galbibacter,Aerotolerant,-,-
Galbitalea,Aerotolerant,-,-
Gallicola,Aerotolerant,-,-
Gardnerella,Anaerobic,-,-
GCA-900066225,Anaerobic,-,-
GCA-900066575,Anaerobic,-,-
Gelidibacter,Aerotolerant,-,-
Gemella,Aerotolerant,-,-
Geminicoccus,Aerotolerant,-,-
Gemmata,Aerotolerant,Correct,Correct
Gemmatimonas,Aerotolerant,-,Correct
Gemmatirosa,Aerotolerant,-,-
Gemmobacter,Aerotolerant,-,-
Geobacillus,Aerotolerant,-,-
Geodermatophilus,Aerotolerant,Correct,-
Geomicrobium,Aerotolerant,-,-
Georgenia,Aerotolerant,-,-
Gilliamella,Aerotolerant,-,-
Gimesia,Aerotolerant,-,-
GKS98 freshwater group,Unknown,-,-
Glaciecola,Aerotolerant,-,-
Gloeocapsa PCC-7428,Aerotolerant,-,-
Gluconobacter,Aerotolerant,-,-
Glutamicibacter,Aerotolerant,-,-
Glycomyces,Aerotolerant,-,-
Gordonia,Aerotolerant,Correct,-
Gordonibacter,Aerotolerant,-,Wrong
Gottschalkia,Anaerobic,-,-
Gracilibacillus,Aerotolerant,-,-
Gramella,Aerotolerant,-,-
Granulicella,Aerotolerant,-,-
Gryllotalpicola,Aerotolerant,-,-
Gulosibacter,Aerotolerant,-,-
Haematomicrobium,Aerotolerant,-,-
Haemophilus,Aerotolerant,-,-
Halalkalibacillus,Aerotolerant,-,-
Haliangium,Aerotolerant,-,Correct
Haloactinobacterium,Aerotolerant,-,-
Haloactinopolyspora,Aerotolerant,-,-
Haloactinospora,Aerotolerant,-,-
Halobacillus,Aerotolerant,-,-
Halobacteriovorax,Aerotolerant,-,-
Halodesulfovibrio,Anaerobic,-,-
Haloferula,Aerotolerant,-,-
Halomonas,Aerotolerant,-,-
Haloplasma,Anaerobic,-,-
Halovibrio,Aerotolerant,-,-
Hamadaea,Aerotolerant,-,-
Hansschlegelia,Aerotolerant,-,-
Haoranjiania,Aerotolerant,-,-
Hathewaya,Anaerobic,-,-
Helicobacter,Aerotolerant,-,Correct
Hellea,Aerotolerant,-,-
Hephaestia,Aerotolerant,-,-
Herbaspirillum,Aerotolerant,-,-
Herbinix,Anaerobic,-,-
Herpetosiphon,Anaerobic,-,-
Hirschia,Aerotolerant,-,-
Hoeflea,Aerotolerant,-,-
Holdemania,Anaerobic,Correct,-
Hoyosella,Aerotolerant,-,-
HSB OF53-F07,Unknown,-,-
Huakuichenia,Aerotolerant,-,-
Humibacter,Aerotolerant,-,-
Hungatella,Anaerobic,-,-
Hyaloperonospora arabidopsidis,Unknown,-,-
Hydrogenispora,Anaerobic,-,-
Hydrogenoanaerobacterium,Anaerobic,-,-
Hydrogenophaga,Aerotolerant,-,-
Hymenobacter,Aerotolerant,-,-
Hyphomicrobium,Aerotolerant,-,Correct
Iamia,Aerotolerant,-,Correct
Idiomarina,Aerotolerant,-,-
Ignatzschineria,Aerotolerant,-,-
IheB3-7,Unknown,-,-
Ilumatobacter,Aerotolerant,-,Correct
IMCC26207,Unknown,-,-
Incertae Sedis,Unknown,-,-
Inhella,Aerotolerant,-,-
Intestinibacter,Anaerobic,-,-
Intestinimonas,Anaerobic,-,Correct
IS-44,Unknown,-,-
Isoptericola,Aerotolerant,-,-
Isosphaera,Aerotolerant,-,-
Jannaschia,Aerotolerant,-,-
Jatrophihabitans,Aerotolerant,Correct,-
JCM 18997,Unknown,-,-
JdFR-76,Unknown,-,-
Jeotgalibaca,Aerotolerant,-,-
Jeotgalicoccus,Aerotolerant,-,-
JGI 0001001-H03,Unknown,-,-
Jiangella,Aerotolerant,-,-
Jonesia,Aerotolerant,-,-
JTB255 marine benthic group,Unknown,-,-
Kaistia,Aerotolerant,-,-
Ketogulonicigenium,Aerotolerant,-,-
Kibdelosporangium,Aerotolerant,-,-
Kineococcus,Aerotolerant,Correct,-
Kineosporia,Aerotolerant,Correct,-
Kocuria,Aerotolerant,-,-
Kosakonia,Aerotolerant,-,-
Koukoulia,Aerotolerant,-,-
Kouleothrix,Anaerobic,-,-
Kribbella,Aerotolerant,-,Correct
Ktedonobacter,Aerotolerant,-,-
Kurthia,Aerotolerant,-,-
Kushneria,Aerotolerant,-,-
Labrenzia,Aerotolerant,-,-
Labrys,Aerotolerant,-,-
Lachnoclostridium,Anaerobic,Correct,Correct
Lachnoclostridium 10,Anaerobic,Correct,-
Lachnoclostridium 12,Anaerobic,-,-
Lachnoclostridium 5,Anaerobic,-,-
Lachnospira,Anaerobic,-,-
Lachnospiraceae NK4A136 group,Anaerobic,-,-
Lachnospiraceae UCG-006,Anaerobic,-,-
Lachnospiraceae UCG-007,Anaerobic,Correct,-
Lachnospiraceae UCG-008,Anaerobic,-,-
Lachnospiraceae UCG-009,Anaerobic,-,-
Lachnospiraceae UCG-010,Anaerobic,Correct,-
Lachnotalea,Anaerobic,-,-
Lacticigenium,Aerotolerant,-,-
Lactobacillus,Aerotolerant,Correct,Correct
Lactococcus,Aerotolerant,Correct,Correct
Lactonifactor,Anaerobic,-,-
Lactovum,Aerotolerant,-,-
Lacunisphaera,Aerotolerant,-,-
Lamprocystis,Anaerobic,-,-
Lampropedia,Aerotolerant,-,-
Larkinella,Aerotolerant,-,-
Lautropia,Aerotolerant,-,-
Lawsonella,Aerotolerant,-,-
LD29,Unknown,-,-
Leadbetterella,Aerotolerant,-,-
Lechevalieria,Aerotolerant,-,-
Legionella,Aerotolerant,-,-
Leifsonia,Aerotolerant,Correct,-
Lentimicrobium,Aerotolerant,-,-
Leptolyngbya ANT.L52.2,Aerotolerant,-,-
Leptolyngbya Es-Yyy1000,Aerotolerant,-,-
Leptolyngbya PCC-6306,Aerotolerant,-,-
Leucobacter,Aerotolerant,Correct,-
Leuconostoc,Aerotolerant,Correct,-
Lewinella,Aerotolerant,-,-
Limibacillus,Aerotolerant,-,-
Limnobacter,Aerotolerant,-,-
Listeria,Aerotolerant,-,-
Litorilinea,Aerotolerant,-,-
Longimicrobium,Aerotolerant,-,-
Longimonas,Anaerobic,-,-
Longispora,Aerotolerant,-,-
Loriellopsis LF-B5,Aerotolerant,-,-
Luedemannella,Aerotolerant,-,-
Luteibacter,Aerotolerant,-,-
Luteimonas,Aerotolerant,-,-
Luteitalea,Aerotolerant,-,Correct
Luteococcus,Aerotolerant,-,-
Luteolibacter,Aerotolerant,-,-
Lutispora,Anaerobic,-,-
Lysinibacillus,Aerotolerant,-,-
Lysinimicrobium,Aerotolerant,-,-
Lysobacter,Aerotolerant,-,-
Mangrovibacter,Aerotolerant,-,-
Marinagarivorans,Aerotolerant,-,-
marine metagenome,Unassigned,-,-
Marinilutecoccus,Aerotolerant,-,-
Marinimicrobium,Aerotolerant,-,-
Marinobacter,Aerotolerant,-,-
Marinococcus,Aerotolerant,-,-
Maritimimonas,Aerotolerant,-,-
Marmoricola,Aerotolerant,-,Correct
Martelella,Aerotolerant,-,-
Marvinbryantia,Anaerobic,-,Correct
Massilia,Aerotolerant,-,Correct
Mastigocladopsis PCC-10914,Aerotolerant,-,-
MD3-55,Unknown,-,-
Megamonas,Anaerobic,-,-
Meiothermus,Aerotolerant,-,-
Mesorhizobium,Aerotolerant,-,Correct
metagenome,Unassigned,-,-
Methylobacterium,Aerotolerant,-,-
Methyloceanibacter,Aerotolerant,-,-
Methylocystis,Aerotolerant,-,-
Methyloligella,Aerotolerant,-,-
Methylophaga,Aerotolerant,-,-
